Date,Forecasted_Revenue,Lower_Bound,Upper_Bound,Actual_Revenue
2010-12-12,208399.016623464,147232.8224531157,266693.1465459262,329936.81
2010-12-19,185228.21212554016,131083.5665366192,245013.9443576866,216012.2
2010-12-26,162057.4076276163,104674.14824859147,215798.1173736885,92369.3
2011-01-02,138888.85772727398,81693.36701174134,193455.7530698517,0.0
2011-01-09,139589.09803921985,82879.02750665286,193741.74266215478,133658.19
2011-01-16,140289.33835116573,82481.52795717458,196630.3794069365,193362.04
2011-01-23,140989.58345030196,83040.40357054357,196895.96747427958,215533.18000000002
2011-01-30,141689.88009186854,85026.97572285253,194970.4705656282,125170.79
2011-02-06,142390.17673343513,88778.98259068553,199693.08883551837,125990.68000000001
2011-02-13,143097.3465931572,88657.19036491818,200879.17715298894,107080.7
2011-02-20,143804.51645287927,90832.07760850886,202294.03196382307,143734.46
2011-02-27,144516.49378813631,87210.55486708613,201528.42730076358,148710.78
2011-03-06,145235.21677600432,89482.68254013677,200335.5464722456,132717.55
2011-03-13,145953.93976387233,86537.13566226019,199222.62097586415,135220.53
2011-03-20,147441.21559556658,90042.63238112212,207528.9292082788,161691.62
2011-03-27,148929.71796974522,96048.25089887998,209969.6522499209,149655.47
2011-04-03,150418.2203439239,94681.86170913851,211689.09916040464,192720.48
2011-04-10,151908.94815170355,94711.90587019679,204878.1251955986,134483.88
2011-04-17,153399.6759594831,95657.51742667476,204484.0784767036,149571.681
2011-04-24,154896.20581319477,98658.06492793528,211483.31802871425,141650.98
2011-05-01,156400.03925164804,100894.47471705597,215238.99261855462,86465.08
2011-05-08,157903.8726901013,100956.7822601777,214685.45711957748,146941.6
2011-05-15,159409.53901942953,103710.57734171832,219537.91336213352,211984.26
2011-05-22,160915.204359365,104611.67851487585,219125.58758747994,215835.32
2011-05-29,162420.86969930035,108420.1319305454,217470.8395618092,166087.12
2011-06-05,163926.54152297488,107842.30335444289,218361.61302410954,118688.68
2011-06-12,165432.2133466494,108115.38501516325,218406.38967967522,220151.72
2011-06-19,166937.888754161,114195.27361790091,223574.72536391125,190132.24
2011-06-26,168443.78486905075,106910.33014763841,229005.5191909806,135972.61
2011-07-03,169949.68098394052,116319.84326184205,226515.16127940587,139216.16
2011-07-10,171459.95825105283,110873.98792357699,228182.9025419797,177320.48
2011-07-17,172976.95946522214,114252.6802769143,233099.7395611726,137142.63
2011-07-24,174493.9606793914,119780.0620049055,231574.59516756155,202365.54
2011-07-31,176012.90771301131,116371.89309771187,235196.42310121696,182685.091
2011-08-07,177531.8547466312,121487.98265207898,231903.78732066706,170702.36000000002
2011-08-14,181648.32871825134,125999.49240012615,241340.6805905127,190233.13999999998
2011-08-21,185770.9892641442,126512.11661633835,242363.17118071308,176016.97
2011-08-28,189893.6498100373,129882.4489263937,246124.3212856886,164939.43
2011-09-04,201585.65081929657,143169.4627879443,258517.18236903506,154058.24
2011-09-11,213277.7837552749,154334.7305831899,267946.436171511,192703.67
2011-09-18,224969.9166912531,164977.65870332537,281227.28741416155,230137.26
2011-09-25,236662.05339761145,180895.3025021044,296341.71232185845,338771.791
2011-10-02,248354.19010396968,195333.89170370915,306136.73279244936,211800.221
2011-10-09,260046.3268103281,201285.8859375844,311201.9335715476,319987.39
2011-10-16,271738.4635166864,211334.7631695117,328380.4094207109,228776.18
2011-10-23,283430.60022304463,222221.0881032834,338688.2410446561,276656.42
2011-10-30,295122.736929403,236356.09788495622,349270.30929497874,260555.63
2011-11-06,306814.8736357612,248994.71680835672,363715.22892729176,301897.83
2011-11-13,318507.01034211955,257103.2241788931,376600.46578593034,370044.97000000003
2011-11-20,330199.14704847796,277083.6554525187,386900.6408189083,388622.44
2011-11-27,341891.2837548362,287427.8725766095,400099.7835485353,316412.16
2011-12-04,353583.42046119453,296763.49716443557,410231.53269797185,324370.83
2011-12-11,365275.55716755276,313067.20827826345,421139.92591775,
2011-12-18,376967.69387391116,320358.3902042695,432530.0409567982,
2011-12-25,388659.8305802695,333586.0552780627,444753.50857794844,
2012-01-01,400351.96728662774,340819.0687536169,456305.2733174998,
2012-01-08,412044.10399298614,352391.15766810277,472351.4080910241,
2012-01-15,423736.2406993444,365231.4081758547,481692.9056578982,
2012-01-22,435428.3774057026,374901.6995249242,493594.40186938026,
2012-01-29,447120.514112061,382744.5507862275,508186.01237671124,
2012-02-05,458812.65081841935,392095.56180123944,521713.1933158579,
2012-02-12,470504.7875247776,405334.4616426479,533832.197470927,
2012-02-19,482196.9242311358,415016.52069010836,545141.8740035683,
2012-02-26,493889.0609374942,423032.53519595385,565243.3703877745,
